workload	category	backend	sample	elapsed_ns	user_cpu_ns	system_cpu_ns	voluntary_context_switches	involuntary_context_switches	operations	byte_count
head-readme	application	kvm	5	66447916	3100000	13321000	13	3	0	0
base64-readme	application	ptrace	5	66528668	3978000	55288000	369	183	0	0
base64-readme	application	kvm	5	66715230	3339000	12888000	13	3	0	0
id-u	application	ptrace	5	116926287	6214000	63863000	450	216	0	0
id-u	application	kvm	5	116687795	7852000	12019000	12	3	0	0
printf	application	ptrace	5	67043337	1280000	52164000	321	154	0	0
printf	application	kvm	5	116392320	3892000	12552000	14	3	0	0
cat-stream	throughput	ptrace	5	217106845	1887000	193770000	1373	681	0	16777216
cat-stream	throughput	kvm	5	116409586	10759000	16225000	14	3	0	16777216
syscall-baseline	microbaseline	ptrace	5	67701581	1994000	46939000	288	137	0	0
syscall-baseline	microbaseline	kvm	5	117396017	5435000	12646000	13	6	0	0
syscall-loop	syscall	ptrace	5	5743740261	58114000	5425574000	40494	20228	10000	0
syscall-loop	syscall	kvm	5	218084853	83118000	63225000	13	8	10000	0
pipe-baseline	microbaseline	ptrace	5	66525322	1194000	47241000	312	147	0	0
pipe-baseline	microbaseline	kvm	5	67012590	1795000	12285000	12	5	0	0
pipe-roundtrip	boundary	ptrace	5	1218427907	17570000	1110084000	8338	4153	2000	0
pipe-roundtrip	boundary	kvm	5	167768727	52571000	29130000	13	4	2000	0
echo	application	kvm	6	116614204	5057000	11129000	14	3	0	0
echo	application	ptrace	6	67104128	1055000	52254000	319	155	0	0
ls-64	application	kvm	6	116421944	2934000	15112000	13	3	0	0
ls-64	application	ptrace	6	117668428	2126000	81647000	548	266	0	0
true	application	kvm	6	66350588	998000	15548000	14	4	0	0
true	application	ptrace	6	66838306	3921000	44518000	295	142	0	0
pwd	application	kvm	6	117461606	3977000	13573000	13	4	0	0
pwd	application	ptrace	6	68141556	2164000	51347000	327	158	0	0
seq-10	application	kvm	6	217711568	1167000	16952000	14	7	0	0
seq-10	application	ptrace	6	66822933	1256000	51859000	323	155	0	0
head-readme	application	kvm	6	117169924	3159000	14882000	13	5	0	0
head-readme	application	ptrace	6	66187101	5441000	49234000	344	162	0	0
base64-readme	application	kvm	6	117133589	2294000	15218000	14	2	0	0
base64-readme	application	ptrace	6	66522970	1778000	56557000	363	178	0	0
id-u	application	kvm	6	116685273	4033000	14282000	13	3	0	0
id-u	application	ptrace	6	116540653	3446000	66402000	452	218	0	0
printf	application	kvm	6	116651600	3086000	13934000	13	2	0	0
printf	application	ptrace	6	66661789	2793000	48380000	318	154	0	0
cat-stream	throughput	kvm	6	117098887	6168000	19411000	14	3	0	16777216
cat-stream	throughput	ptrace	6	217086483	2798000	191287000	1371	677	0	16777216
syscall-baseline	microbaseline	kvm	6	116357797	3933000	11205000	14	4	0	0
syscall-baseline	microbaseline	ptrace	6	166701283	3100000	44188000	292	136	0	0
syscall-loop	syscall	kvm	6	216613158	89126000	65204000	12	8	10000	0
syscall-loop	syscall	ptrace	6	5779469473	35125000	5428728000	40365	20186	10000	0
pipe-baseline	microbaseline	kvm	6	117417719	3800000	12248000	12	3	0	0
pipe-baseline	microbaseline	ptrace	6	66370509	4186000	44918000	307	148	0	0
pipe-roundtrip	boundary	kvm	6	166734624	56522000	25892000	13	4	2000	0
pipe-roundtrip	boundary	ptrace	6	1219769925	12660000	1133324000	8329	4153	2000	0
echo	application	ptrace	7	66912929	1812000	50478000	323	153	0	0
echo	application	kvm	7	117010823	4088000	13043000	14	2	0	0
ls-64	application	ptrace	7	117160620	2648000	81373000	547	264	0	0
ls-64	application	kvm	7	67161344	5915000	15077000	12	4	0	0
true	application	ptrace	7	66924315	2768000	45455000	285	138	0	0
true	application	kvm	7	116740475	2113000	14346000	13	2	0	0
pwd	application	ptrace	7	65949412	3227000	51342000	327	165	0	0
pwd	application	kvm	7	117639003	2689000	14632000	13	6	0	0
